Porto,Mercadoria,Sentido,Volume
Paranaguá,CONTÊINERES (CONTENTORES) INCL,Imp/Exp,0 Movs.
Paranaguá,OLEO DIESEL,Imp,"0,000 Tons."
Paranaguá,CONTÊINERES (CONTENTORES) INCL,Imp/Exp,0 Movs.
Paranaguá,CONTÊINERES (CONTENTORES) INCL,Imp/Exp,0 Movs.
Paranaguá,SOJA,Exp,"1.650,000 Tons."
Paranaguá,AÇÚCAR,Exp,"19.625,000 Tons."
Paranaguá,FARELO DE SOJA,Exp,"5.178,000 Tons."
Paranaguá,OLEO DIESEL,Imp,"28.457,000 Tons."
Paranaguá,FARELO DE SOJA,Exp,"33.987,000 Tons."
Paranaguá,UREIA,Imp,"4.524,000 Tons."
Paranaguá,CEVADA CERVEJEIRA,Imp,"42.058,000 Tons."
Paranaguá,OUTS.ACUCARES,Exp,"12.944,000 Tons."
Paranaguá,CLORETOS DE POTASSIO,Imp,"29.321,000 Tons."
Paranaguá,AÇÚCAR,Exp,"23.373,000 Tons."
Paranaguá,PELLETS DE MADEIRA,Exp,"16.781,000 Tons."
Paranaguá,SULFATO DE AMONIO,Imp,"34.057,000 Tons."
Paranaguá,MAP,Imp,"16.244,000 Tons."
Paranaguá,SULFATO DE AMONIO,Imp,"20.157,000 Tons."
Paranaguá,PASTA QUIM.MADEIRA DE N/CONIF.,Exp,"3.000,000 Tons."
Paranaguá,CONTÊINERES (CONTENTORES) INCL,Imp/Exp,650 Movs.
Paranaguá,METANOL,Imp,"13.000,000 Tons."
Paranaguá,AÇÚCAR (BRUTO),Exp,"50.000,000 Tons."
Paranaguá,AÇÚCAR,Exp,"30.091,000 Tons."
Paranaguá,UREIA,Imp,"29.120,000 Tons."
Paranaguá,DAP - Fosfato Diamonico,Imp,"13.305,000 Tons."
Paranaguá,CLORETOS DE POTASSIO,Imp,"10.134,000 Tons."
Paranaguá,SULFATO DE AMONIO,Imp,"63.410,000 Tons."
Paranaguá,OLEOS BRUTOS DE PETROLEO,Imp,"13.824,000 Tons."
Paranaguá,CLORETOS DE POTASSIO,Imp,"10.511,000 Tons."
Paranaguá,OUTS.ACUCARES,Exp,"12.000,000 Tons."
Paranaguá,CONTÊINERES (CONTENTORES) INCL,Imp/Exp,650 Movs.
Paranaguá,CONTÊINERES (CONTENTORES) INCL,Imp/Exp,800 Movs.
Paranaguá,SODA CÁUSTICA,Imp,"16.723,000 Tons."
Paranaguá,AUTOMÓVEIS DE PASSAGEIROS E OU,Imp/Exp,1.957 Movs.
Paranaguá,VEICULOS,Imp/Exp,1.078 Movs.
Paranaguá,CONTÊINERES (CONTENTORES) INCL,Imp/Exp,459 Movs.
Paranaguá,CONTÊINERES (CONTENTORES) INCL,Imp/Exp,718 Movs.
Paranaguá,PASTA QUIM.MADEIRA DE N/CONIF.,Exp,"3.000,000 Tons."
Paranaguá,CONTÊINERES (CONTENTORES) INCL,Imp/Exp,271 Movs.
Paranaguá,CONTÊINERES (CONTENTORES) INCL,Imp/Exp,350 Movs.
Paranaguá,AÇÚCAR,Exp,"54.025,000 Tons."
Paranaguá,OLEO DIESEL,Imp,"30.000,000 Tons."
Paranaguá,GASOLINAS,Imp,"35.000,000 Tons."
Paranaguá,METANOL,Imp,"18.369,000 Tons."
Paranaguá,SOJA,Exp,"67.500,000 Tons."
Paranaguá,MILHO,Exp,"43.500,000 Tons."
Paranaguá,CONTÊINERES (CONTENTORES) INCL,Imp/Exp,693 Movs.
Paranaguá,UREIA,Imp,"9.690,000 Tons."
Santos,OLEO DIESEL,DESC,41024.0
Santos,GRAN.LIQUIDO NAO ESPECIFGRAN.LIQUIDO NAO ESPECIF,EMBDESC,649812799.0
Santos,GRAN.LIQUIDO NAO ESPECIF,EMB,10000.0
Santos,OLEO DIESEL,EMB,25000.0
Santos,GRAN.LIQUIDO NAO ESPECIFGRAN.LIQUIDO NAO ESPECIF,EMBDESC,4008000.0
Santos,OLEO DIESEL,EMB,45000.0
Santos,OLEO COMBUSTIVEL,EMB,25000.0
